date,fuel,nat_avg,nat_min,nat_max,n_stations
2021-08-16,diesel,1.5077,,,
2021-08-16,benzina,1.6562,,,
2021-08-16,gpl,0.6954,,,
2021-08-23,diesel,1.5034,,,
2021-08-23,benzina,1.6524,,,
2021-08-23,gpl,0.6970,,,
2021-08-30,diesel,1.5000,,,
2021-08-30,benzina,1.6502,,,
2021-08-30,gpl,0.6964,,,
2021-09-06,diesel,1.5041,,,
2021-09-06,benzina,1.6552,,,
2021-09-06,gpl,0.7011,,,
2021-09-13,diesel,1.5101,,,
2021-09-13,benzina,1.6621,,,
2021-09-13,gpl,0.7093,,,
2021-09-20,diesel,1.5166,,,
2021-09-20,benzina,1.6707,,,
2021-09-20,gpl,0.7100,,,
2021-09-27,diesel,1.5235,,,
2021-09-27,benzina,1.6764,,,
2021-09-27,gpl,0.7127,,,
2021-10-04,diesel,1.5367,,,
2021-10-04,benzina,1.6869,,,
2021-10-04,gpl,0.7174,,,
2021-10-11,diesel,1.5671,,,
2021-10-11,benzina,1.7131,,,
2021-10-11,gpl,0.7831,,,
2021-10-18,diesel,1.5932,,,
2021-10-18,benzina,1.7338,,,
2021-10-18,gpl,0.8177,,,
2021-10-25,diesel,1.6079,,,
2021-10-25,benzina,1.7458,,,
2021-10-25,gpl,0.8256,,,
2021-11-01,diesel,1.6131,,,
2021-11-01,benzina,1.7492,,,
2021-11-01,gpl,0.8302,,,
2021-11-08,diesel,1.6138,,,
2021-11-08,benzina,1.7508,,,
2021-11-08,gpl,0.8324,,,
2021-11-15,diesel,1.6129,,,
2021-11-15,benzina,1.7496,,,
2021-11-15,gpl,0.8339,,,
2021-11-22,diesel,1.6113,,,
2021-11-22,benzina,1.7469,,,
2021-11-22,gpl,0.8353,,,
2021-11-29,diesel,1.6075,,,
2021-11-29,benzina,1.7428,,,
2021-11-29,gpl,0.8353,,,
2021-12-06,diesel,1.5978,,,
2021-12-06,benzina,1.7329,,,
2021-12-06,gpl,0.8291,,,
2021-12-13,diesel,1.5904,,,
2021-12-13,benzina,1.7253,,,
2021-12-13,gpl,0.8222,,,
2021-12-20,diesel,1.5871,,,
2021-12-20,benzina,1.7225,,,
2021-12-20,gpl,0.8192,,,
2022-01-03,diesel,1.5879,,,
2022-01-03,benzina,1.7231,,,
2022-01-03,gpl,0.8183,,,
2022-01-10,diesel,1.5980,,,
2022-01-10,benzina,1.7334,,,
2022-01-10,gpl,0.8190,,,
2022-01-17,diesel,1.6202,,,
2022-01-17,benzina,1.7543,,,
2022-01-17,gpl,0.8171,,,
2022-01-24,diesel,1.6471,,,
2022-01-24,benzina,1.7786,,,
2022-01-24,gpl,0.8167,,,
2022-01-31,diesel,1.6673,,,
2022-01-31,benzina,1.7967,,,
2022-01-31,gpl,0.8174,,,
2022-02-07,diesel,1.6906,,,
2022-02-07,benzina,1.8193,,,
2022-02-07,gpl,0.8177,,,
2022-02-14,diesel,1.7082,,,
2022-02-14,benzina,1.8353,,,
2022-02-14,gpl,0.8165,,,
2022-02-21,diesel,1.7224,,,
2022-02-21,benzina,1.8499,,,
2022-02-21,gpl,0.8168,,,
2022-02-28,diesel,1.7405,,,
2022-02-28,benzina,1.8689,,,
2022-02-28,gpl,0.8173,,,
2022-03-07,diesel,1.8293,,,
2022-03-07,benzina,1.9531,,,
2022-03-07,gpl,0.8535,,,
2022-03-14,diesel,2.1546,,,
2022-03-14,benzina,2.1846,,,
2022-03-14,gpl,0.8707,,,
2022-03-21,diesel,2.1246,,,
2022-03-21,benzina,2.1372,,,
2022-03-21,gpl,0.8768,,,
2022-03-28,diesel,1.8579,,,
2022-03-28,benzina,1.8704,,,
2022-03-28,gpl,0.8435,,,
2022-04-04,diesel,1.7882,,,
2022-04-04,benzina,1.7927,,,
2022-04-04,gpl,0.8297,,,
2022-04-11,diesel,1.7606,,,
2022-04-11,benzina,1.7654,,,
2022-04-11,gpl,0.8373,,,
2022-04-25,diesel,1.7674,,,
2022-04-25,benzina,1.7663,,,
2022-04-25,gpl,0.8405,,,
2022-05-02,diesel,1.7911,,,
2022-05-02,benzina,1.7783,,,
2022-05-02,gpl,0.8448,,,
2022-05-09,diesel,1.8306,,,
2022-05-09,benzina,1.8083,,,
2022-05-09,gpl,0.8377,,,
2022-05-16,diesel,1.8280,,,
2022-05-16,benzina,1.8231,,,
2022-05-16,gpl,0.8343,,,
2022-05-23,diesel,1.8199,,,
2022-05-23,benzina,1.8731,,,
2022-05-23,gpl,0.8321,,,
2022-05-30,diesel,1.8128,,,
2022-05-30,benzina,1.8855,,,
2022-05-30,gpl,0.8309,,,
2022-06-06,diesel,1.8515,,,
2022-06-06,benzina,1.9405,,,
2022-06-06,gpl,0.8303,,,
2022-06-13,diesel,1.9353,,,
2022-06-13,benzina,2.0143,,,
2022-06-13,gpl,0.8298,,,
2022-06-20,diesel,2.0060,,,
2022-06-20,benzina,2.0635,,,
2022-06-20,gpl,0.8297,,,
2022-06-27,diesel,2.0338,,,
2022-06-27,benzina,2.0740,,,
2022-06-27,gpl,0.8296,,,
2022-07-04,diesel,2.0225,,,
2022-07-04,benzina,2.0651,,,
2022-07-04,gpl,0.8289,,,
2022-07-11,diesel,1.9816,,,
2022-07-11,benzina,2.0284,,,
2022-07-11,gpl,0.8268,,,
2022-07-18,diesel,1.9409,,,
2022-07-18,benzina,1.9887,,,
2022-07-18,gpl,0.8254,,,
2022-07-25,diesel,1.8945,,,
2022-07-25,benzina,1.9375,,,
2022-07-25,gpl,0.8236,,,
2022-08-01,diesel,1.8517,,,
2022-08-01,benzina,1.8772,,,
2022-08-01,gpl,0.8207,,,
2022-08-08,diesel,1.8113,,,
2022-08-08,benzina,1.8306,,,
2022-08-08,gpl,0.8090,,,
2022-08-15,diesel,1.7565,,,
2022-08-15,benzina,1.7702,,,
2022-08-15,gpl,0.8004,,,
2022-08-22,diesel,1.7444,,,
2022-08-22,benzina,1.7493,,,
2022-08-22,gpl,0.8051,,,
2022-08-29,diesel,1.8087,,,
2022-08-29,benzina,1.7615,,,
2022-08-29,gpl,0.7983,,,
2022-09-05,diesel,1.8384,,,
2022-09-05,benzina,1.7466,,,
2022-09-05,gpl,0.8023,,,
2022-09-12,diesel,1.8278,,,
2022-09-12,benzina,1.7222,,,
2022-09-12,gpl,0.8025,,,
2022-09-19,diesel,1.8031,,,
2022-09-19,benzina,1.6915,,,
2022-09-19,gpl,0.8006,,,
2022-09-26,diesel,1.7617,,,
2022-09-26,benzina,1.6561,,,
2022-09-26,gpl,0.7994,,,
2022-10-03,diesel,1.7383,,,
2022-10-03,benzina,1.6328,,,
2022-10-03,gpl,0.7967,,,
2022-10-10,diesel,1.7890,,,
2022-10-10,benzina,1.6598,,,
2022-10-10,gpl,0.7949,,,
2022-10-17,diesel,1.8827,,,
2022-10-17,benzina,1.6976,,,
2022-10-17,gpl,0.7937,,,
2022-10-24,diesel,1.8801,,,
2022-10-24,benzina,1.6912,,,
2022-10-24,gpl,0.7872,,,
2022-10-31,diesel,1.8655,,,
2022-10-31,benzina,1.6777,,,
2022-10-31,gpl,0.7778,,,
2022-11-07,diesel,1.8586,,,
2022-11-07,benzina,1.6877,,,
2022-11-07,gpl,0.7792,,,
2022-11-14,diesel,1.8525,,,
2022-11-14,benzina,1.7099,,,
2022-11-14,gpl,0.7769,,,
2022-11-21,diesel,1.8099,,,
2022-11-21,benzina,1.6971,,,
2022-11-21,gpl,0.7716,,,
2022-11-28,diesel,1.7479,,,
2022-11-28,benzina,1.6598,,,
2022-11-28,gpl,0.7683,,,
2022-12-05,diesel,1.7647,,,
2022-12-05,benzina,1.6894,,,
2022-12-05,gpl,0.7765,,,
2022-12-12,diesel,1.7701,,,
2022-12-12,benzina,1.7016,,,
2022-12-12,gpl,0.7849,,,
2022-12-19,diesel,1.7171,,,
2022-12-19,benzina,1.6630,,,
2022-12-19,gpl,0.7705,,,
2022-12-26,diesel,1.6898,,,
2022-12-26,benzina,1.6252,,,
2022-12-26,gpl,0.7776,,,
2023-01-02,diesel,1.8908,,,
2023-01-02,benzina,1.8271,,,
2023-01-02,gpl,0.8177,,,
2023-01-09,diesel,1.8681,,,
2023-01-09,benzina,1.8120,,,
2023-01-09,gpl,0.8095,,,
2023-01-16,diesel,1.8637,,,
2023-01-16,benzina,1.8136,,,
2023-01-16,gpl,0.7997,,,
2023-01-23,diesel,1.8751,,,
2023-01-23,benzina,1.8295,,,
2023-01-23,gpl,0.7979,,,
2023-01-30,diesel,1.9123,,,
2023-01-30,benzina,1.8713,,,
2023-01-30,gpl,0.7965,,,
2023-02-06,diesel,1.8970,,,
2023-02-06,benzina,1.8724,,,
2023-02-06,gpl,0.7926,,,
2023-02-13,diesel,1.8532,,,
2023-02-13,benzina,1.8597,,,
2023-02-13,gpl,0.8010,,,
2023-02-20,diesel,1.8366,,,
2023-02-20,benzina,1.8600,,,
2023-02-20,gpl,0.8032,,,
2023-02-27,diesel,1.8217,,,
2023-02-27,benzina,1.8565,,,
2023-02-27,gpl,0.8045,,,
2023-03-06,diesel,1.8091,,,
2023-03-06,benzina,1.8528,,,
2023-03-06,gpl,0.8026,,,
2023-03-13,diesel,1.8126,,,
2023-03-13,benzina,1.8599,,,
2023-03-13,gpl,0.8002,,,
2023-03-20,diesel,1.8018,,,
2023-03-20,benzina,1.8553,,,
2023-03-20,gpl,0.7980,,,
2023-03-27,diesel,1.8007,,,
2023-03-27,benzina,1.8509,,,
2023-03-27,gpl,0.7956,,,
2023-04-03,diesel,1.7667,,,
2023-04-03,benzina,1.8581,,,
2023-04-03,gpl,0.7935,,,
2023-04-10,diesel,1.7672,,,
2023-04-10,benzina,1.8753,,,
2023-04-10,gpl,0.7891,,,
2023-04-17,diesel,1.7665,,,
2023-04-17,benzina,1.8857,,,
2023-04-17,gpl,0.7839,,,
2023-04-24,diesel,1.7456,,,
2023-04-24,benzina,1.8780,,,
2023-04-24,gpl,0.7741,,,
2023-05-01,diesel,1.7108,,,
2023-05-01,benzina,1.8575,,,
2023-05-01,gpl,0.7720,,,
2023-05-08,diesel,1.6799,,,
2023-05-08,benzina,1.8348,,,
2023-05-08,gpl,0.7687,,,
2023-05-15,diesel,1.6541,,,
2023-05-15,benzina,1.8116,,,
2023-05-15,gpl,0.7622,,,
2023-05-22,diesel,1.6503,,,
2023-05-22,benzina,1.8075,,,
2023-05-22,gpl,0.7591,,,
2023-05-29,diesel,1.6623,,,
2023-05-29,benzina,1.8185,,,
2023-05-29,gpl,0.7568,,,
2023-06-05,diesel,1.6614,,,
2023-06-05,benzina,1.8222,,,
2023-06-05,gpl,0.7520,,,
2023-06-12,diesel,1.6684,,,
2023-06-12,benzina,1.8314,,,
2023-06-12,gpl,0.7398,,,
2023-06-19,diesel,1.6773,,,
2023-06-19,benzina,1.8410,,,
2023-06-19,gpl,0.7341,,,
2023-06-26,diesel,1.6903,,,
2023-06-26,benzina,1.8524,,,
2023-06-26,gpl,0.7275,,,
2023-07-03,diesel,1.6850,,,
2023-07-03,benzina,1.8465,,,
2023-07-03,gpl,0.7202,,,
2023-07-10,diesel,1.6838,,,
2023-07-10,benzina,1.8448,,,
2023-07-10,gpl,0.7158,,,
2023-07-17,diesel,1.7033,,,
2023-07-17,benzina,1.8596,,,
2023-07-17,gpl,0.7123,,,
2023-07-24,diesel,1.7096,,,
2023-07-24,benzina,1.8640,,,
2023-07-24,gpl,0.7096,,,
2023-07-31,diesel,1.7461,,,
2023-07-31,benzina,1.8980,,,
2023-07-31,gpl,0.7083,,,
2023-08-07,diesel,1.7964,,,
2023-08-07,benzina,1.9292,,,
